,type,location,price,area,link
0,Apartment,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","500,000",180 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-3385823.html
1,Townhouse,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3,500,000",165 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-3430680.html
2,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,300,000",145 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3342624.html
3,Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","515,789",139 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-3436023.html
4,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo","900,000",399 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-3432649.html
5,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo","6,700,000",376 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-3409227.html
6,Townhouse,"Grand Residence, South Investors Area, New Cairo City, Cairo","6,000,000",281 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-south-investors-area-grand-residence-3339188.html
7,Villa,"Mountain View 1, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","15,500,000",530 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-1-3287757.html
8,Villa,"Maadi View, El Shorouk Compounds, Shorouk City, Cairo","590,000",288 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-maadi-view-3329997.html
9,Apartment,"The Sierras, Uptown Cairo, Mokattam, Cairo","5,150,000",140 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-uptown-cairo-the-sierras-3380292.html
10,Duplex,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","7,700,000",317 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-3428730.html
11,Townhouse,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,500,000",400 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-3335817.html
12,Villa,"Gardenia Springs, Ext North Inves Area, New Cairo City, Cairo","10,500,000",920 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-ext-north-inves-area-gardenia-springs-3401203.html
13,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,206,938",169 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-3347363.html
14,Twin House,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5,000,000",375 ,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-3425363.html
15,Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,902,000",165 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-3393030.html
16,Villa,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","5,900,000",200 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-2652894.html
17,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,849,084",183 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-3326419.html
18,Twin House,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo","11,400,000",620 ,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-palm-hills-kattameya-3436011.html
19,Penthouse,"Granda Life, El Shorouk Compounds, Shorouk City, Cairo","300,000",200 ,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-shorouk-city-el-shorouk-compounds-granda-life-3338202.html
20,Twin House,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,000,000",250 ,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-3397708.html
21,Apartment,"Sarayat Al Maadi, Hay El Maadi, Cairo","3,800,000",220 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-hay-el-maadi-sarayat-al-maadi-3435850.html
22,Apartment,"El Rehab Extension, Al Rehab, New Cairo City, Cairo","2,279,000",155 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-al-rehab-el-rehab-extension-3188675.html
23,Villa,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","14,250,000",530 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-3244105.html
24,Apartment,"JAYD Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","140,000",150 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-jayd-residence-3288003.html
25,Apartment,"El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo","1,500,000",120 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-el-banafseg-el-banafseg-apartment-buildings-3433258.html
26,Duplex,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","3,117,000",276 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-2622542.html
27,Apartment,"Swan Lake, The 1st Settlement, New Cairo City, Cairo","900,000",173 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-1st-settlement-swan-lake-3391078.html
