,type,location,price,area,link
65,Townhouse,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,900,000",290 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-district-5-3423044.html
66,Apartment,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","1,514,000",165 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-capital-gardens-palm-hills-3361896.html
67,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,850,000",133 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-3342076.html
68,Apartment,"Castle Landmark, New Capital Compounds, New Capital City, Cairo","344,000",209 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-castle-landmark-3327320.html
69,Penthouse,"Swan Lake Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","10,300,000",266 ,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-swan-lake-residence-3363627.html
70,Villa,"Trio Villas, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","550,000",240 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-trio-villas-3404663.html
71,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","26,610,000",391 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-3432711.html
72,Apartment,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","630,000",266 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-3388258.html
73,Villa,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo","55,000,000","1,450 ",https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-dunes-3426491.html
74,Villa,"Al Shorouk 2000, El Shorouk Compounds, Shorouk City, Cairo","7,800,000",400 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-shorouk-2000-3385830.html
